facebook.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
rebtel.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
1and1.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
bluejeans.com,ok,https://www.bluejeans.com/22-046-Awards-Badges-G2.png,622.6687037124475
vzw.com,"Failed, this website is off or blocked our connection"
mimecast.com,ok,https://www.mimecast.com/Award_Global_infosec__CyberDefenceMagazine2022.png,32.06357612589735
uscellular.com,"Failed, this website is off or blocked our connection"
getsatisfaction.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
hughesnet.com,ok,https://www.hughesnet.com//themes/custom/hughes_theme/logo.svg,292.4009597087008
aweber.com,ok,https://assets.aweber-static.com/www/assets/img/homepage/deliverability-m.745ba422.png,396.44791743294024
animoto.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
neat.com,ok,https://3938vt31fpm84aufi94co9yh-wpengine.netdna-ssl.com/wp-content/uploads/2021/02/logo-sized-for-website-1x.svg,3298.3656594129993
peoplesmart.com,ok,https://www.peoplesmart.com///frcdn.peoplesmart.com/assets/img/9171a837fd4de151b8e08d542a04eec4.svg,95.71818458797063
megapath.com,"Failed, this website is off or blocked our connection"
swagbucks.com,ok,https://www.swagbucks.com///static.prdg.io/dist-non-modules/content/home-6/images/logged-out/logos/logo-huffington-post.7d592bebb55fc187a24b.svg,221.45058188645575
boingo.com,ok,https://www.boingo.com/wp-content/themes/boingo-2019/img/boingo_logo.svg,189.4973784217206
greatcall.com,ok,https://www.lively.com/static/lively-on-alexa-hori-logo-black-4d7c1055a206d1a9b88f1bac95d8ecbc.svg,279.2364426362436
secureserver.net,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
fonality.com,ok,https://www.netfortris.com/wp-content/uploads/2022/03/NF-A-Sangoma-Company-Logo.png,576.1502348599731
globo.com,ok,https://s2.glbimg.com/wIJ2edzeWVgZHOY2wHFgTgZPxh8=/3x0:743x416/fit-in/515x290/middle/smart/filters:strip_icc():strip_exif():format(webp)/s2.glbimg.com/PgbHVykH5HSpaKd2iUGsiSW8yNk=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2022/7/a/i5r6C1T4qBNNqQkVWAdg/melhores-libertadores.jpg,1696.4718050571962
sugarsync.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
bmc.com,ok,https://www.bmc.com/content/dam/bmc/logos/bmc/brandBlock.jpg,97.88660206253954
terra.com,ok,https://www.terra.com//a/plantillas/p/terra/imgs/main-logo.svg,61.64317078369832
weebly.com,ok,https://www.weebly.com///cdn2.editmysite.com/images/landing-pages/global/logotype.svg,261.3484942173732
naver.com,ok,https://s.pstatic.net/static/www/mobile/edit/20220829/cropImg_196x196_103670923989448547.jpeg,114.83498692582143
register.com,ok,https://www.register.com/config/cloudflare-captcha-page/_jcr_content/root/section/responsivecolumns/column-0/image.coreimg.png/1614021474726/dc-logo-register.com-black.png,1087.3379530848124
sproutsocial.com,ok,https://media.sproutsocial.com/uploads/PI_Analytics_Instagram_Business_Profiles_Report_1000w.png,3137.9138231251814
dishnetwork.com,"Failed, this website is off or blocked our connection"
efax.com,ok,https://www.efax.com/wp-content/uploads/elementor/thumbs/icon-sm-storage-psqnl7xqzwu3ikb6jgea3cmjlpnyvibxyrkoqk8tpw.png,1493.3600235332847
about.me,ok,https://about.me/s3/h/favicon/favicon_310.4fb90897.png,463.05051024459993
one.com,ok,https://www.one.com//www-static.cdn-one.com/images/global/one_16x16.png,32.256724901291
vpweb.com,"Failed, this website is off or blocked our connection"
teamtreehouse.com,ok,https://static.teamtreehouse.com/assets/views/marketing/home/logos/verizonlogo-9cba19702ab6629065e86d968a541e1c08535a4d4f5bdf824e36ee951b47593c.png,1768.7825087335166
airpush.com,"Failed, this website is off or blocked our connection"
tradedoubler.com,ok,https://www.tradedoubler.com/wp-content/uploads/2018/08/Santander_website.png,799.0255972326352
compete.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
rcn.com,ok,https://www.astound.com//wp-content/themes/astound/images/logos/logo-astound-white-vertical-entouch.png,1630.314017457513
nextiva.com,ok,https://www.nextiva.com/favicon-16x16.png,73.8028289980652
live.com,ok,https://logincdn.msauth.net/16.000.29527.2/images/Windows_Live_v_thumb.jpg,43.032598768396326
ifbyphone.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
whatcounts.com,ok,https://www.whatcounts.com/wp-content/uploads/2022/03/MPP_Hero-300x113.jpg,761.0912186499372
readytalk.com,ok,https://www.readytalk.com//sites/default/files/bsi-logo-with-padding.png,184.9844649671423
plantronics.com,ok,https://www.poly.com/etc.clientlibs/poly/clientlibs/clientlib-site/resources/images/company-logo-color.svg,201.79607207635385
hostway.com,ok,https://hostway.com/wp-content/uploads/2021/06/blackburn-logo.jpeg,479.51087235270944
semrush.com,ok,https://cdn.semrush.com/static/index/logos/Booking_logo.fa2c1c5764b2.svg,571.1939700652621
kudzu.com,"Failed, this website is off or blocked our connection"
zinio.com,ok,https://admin-project-assets.ziniopro.com/99/20190516161716-Zinio_WebTopNavLogo.png,224.59601144940842
wirefly.com,ok,https://www.wirefly.com//sites/wirefly.com/themes/wirefly/images/cell-phone-carriers.jpg,190.224668189785
sonyentertainmentnetwork.com,ok,https://www.playstation.com/pt-br/playstation-network//etc.clientlibs/global_pdc/clientlibs/clientlib-base/resources/sie.svg,12.289916188833592
twilio.com,ok,https://twilio-cms-prod.s3.amazonaws.com/images/logo_airbnb_m6Y5qjG.width-600.format-jpeg.jpegquality-85.jpg,1306.537526265327
actonsoftware.com,ok,http://act-on.com//wp-content/themes/act-on/img/homepage/sugarcrm-logo.png,732.8732372698863
newhaven.edu,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
ussearch.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
name.com,ok,https://namedotcom-cdn.name.tools/media/logo/namelogo-white.svg,121.50000000176402
3dcart.com,ok,https://www.Shift4Shop.com/2015/images/support/AmericanRVCompany.com.png,73.30210814744275
altova.com,ok,https://www.altova.com//images/hometiles/xs/regulatory_solutions.png,6.780009042809299
android.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
jimdo.com,ok,https://www.jimdo.com//static/a20e9a9f7a8a782d973f58c1a3e3ab39/e97e0/logo_5.png,622.5310870968605
headsets.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
phonepower.com,ok,https://www.phonepower.com/voiphome.aspx/images/min/homepage/phonepower_logo.png,163.342646608633
prana.com,ok,https://www.prana.com/on/demandware.static/Sites-Prana_US-Site/-/default/images/favicons/favicon-196x196.png,189.12147682405
templatemonster.com,ok,https://s.tmimgcdn.com/scr/400x250/272700/sushi-simple-logo-template_272743-original.jpg,668.7385931373047
puretalkusa.com,ok,https://s.weblec.com/ptusa/final/images/PT-2020-AddMORElines banner-1366x285.png,185.92192842225222
findmespot.com,"Failed, this website is off or blocked our connection"
gazelle.com,ok,https://www.gazelle.com///images.ctfassets.net/slwemikclfm1/51QcZHHV3WoMSQC0myeEOW/3dc988c9432e06fe9393aa0d0d49064e/bbb_white_black_seal.png,15.150659374021199
tracfone.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
infoblox.com,ok,https://infoblox.b-cdn.net/wp-content/uploads/infoblox-logo-new.svg,437.87694043348904
houzz.com,ok,https://st.hzcdn.com/fimgs/pictures/living-rooms/seeley-living-room-a-michael-abrams-interiors-img~de4195010e272f91_3456-1-e6951ab-w154-h102-b0-p0.jpg,518.5133442831865
verizon.net,ok,https://www.verizon.com/dam/vzwcom/gnav/global/VZ-White.svg,257.74079931893783
rogers.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
pgi.com,ok,https://www.pgi.com/wp-content/uploads/2022/05/PGi_Socialive_event_hosts.png,2032.9618265416022
lifesize.com,ok,https://www.lifesize.com/wp-content/uploads/2021/03/Connect_Blog-and-Social@2x-min-200x104.jpg,567.3589134275757
comm100.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
bitly.com,"Failed, this website is off or blocked our connection"
proofpoint.com,ok,https://www.proofpoint.com/us/themes/custom/proofpoint/dist/app-drupal/assets/logo-reg.svg,112.17451485343685
niu.edu,ok,https://www.niu.edu/index.shtml/masterto/themes/Theme_3_0/css/theme-images/niu-homepage-logo.svg,108.63905310401131
namecheap.com,ok,https://www.namecheap.com/assets/img/nc-icon/namecheap-icon-72x72.png,41.49781239499434
rtrk.com,"Failed, this website is off or blocked our connection"
avangate.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
earthlink.net,ok,https://www.earthlink.net//images/elnk-logo-type.svg,2643.7350810516677
onstar.com,"Failed, this website is off or blocked our connection"
tel3.com,"Failed, this website is off or blocked our connection"
ipage.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
toptenreviews.com,ok,https://vanilla.futurecdn.net/toptenreviews/media/img/missing-image.svg,1612.82368140381
godish.com,ok,https://godish.com/wp-content/uploads/trustpilot_logo.png,238.65853890246356
quirky.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
mediatemple.net,ok,https://mediatemple.net//static/bg-b4ad98dae6f3c8279e4195ea9a9dad3e.png,4.941181436026753
winegard.com,ok,https://cdn11.bigcommerce.com/s-ltdyg0lu1n/product_images/uploaded_images/winegard.png,656.7139164858813
ooma.com,ok,https://www.ooma.com/wp-content/uploads/pointing-to-voip1290x800.jpg,162.26021325090323
good.com,ok,https://www.blackberry.com/etc.clientlibs/bbcom/clientlibs/clientlib-etc-legacy/resources/cylance-web/global/bb-default-thumbnail-social.png,447.6329147084051
optimum.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
onecallnow.com,ok,https://www.onsolve.com/wp-content/uploads/2021/09/OCN-Homepage-DeviceScreenshots_Transparent-527x344.png,1458.4804440040693
webcrawler.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
safelinkwireless.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
intercall.com,ok,https://www.intrado.com/en?redir=westuc/themes/custom/intrado_bs4/logo.png,139.82687413964277
pingdom.com,ok,https://www.pingdom.com/wp-content/uploads/2020/12/favicon_small.png,261.1373841599344
box.net,ok,https://cdn03.boxcdn.net/sites/default/files/box_default_og_sharing_image/box-social.jpg,187.3728264080852
webnode.com,ok,https://d1rv23qj5kas56.cloudfront.net/img/portal-2015/lp/lp-hp-cbt-article-easy-steps-en.png,188.6228561155474
gazeta.pl,ok,"https://www.gazeta.pl/0,0.html//bi.im-g.pl/im/47/b2/e8/z15249991Q,Logo-Publio.jpg",491.7863174036898
kissmetrics.com,ok,https://neilpatel.com/wp-content/themes/neilpatel/images/icons/instagram-brands.svg,194.59933067556622
stackexchange.com,ok,https://cdn.sstatic.net/stackexchange/img/apple-touch-icon.png,20.518872583696
livehelpnow.net,ok,https://livehelpnow.net/wp-content/themes/livehelpnow-blog-2021/dist/images/logomark4_272999c3.svg,501.76812988720485
ting.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
mophie.com,ok,https://www.zagg.com/media/wysiwyg/mophie/mophie-icon-black.png,173.98075024742383
tinyurl.com,ok,https://tinyurl.com/images/icons/favicon-192.png,933.651163876354
myfax.com,ok,https://www.myfax.com/wp-content/uploads/2022/01/highres_logo_business-news-daily.svg,1501.071954732883
stumbleupon.com,ok,https://www.stumbleupon.com//images/mix-logotype.png,168.40934131289947
consolidated.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
case-mate.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
comcast.net,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
vagaro.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
internap.com,ok,https://www.inap.com/inap/wp-content/uploads/2021/11/WEB-High-Perfomance-Feature.jpg,267.0400645743207
cellularoutfitter.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
motorolasolutions.com,ok,https://www.motorolasolutions.com/pt_xl.html?geo=redirect/content/dam/msi/images/community_member_banner_desktop-POR.png,132.08486902540758
info.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
dealtime.com,ok,https://www.shopping.com//images/logo/sdc_logo_72.png,291.18987114559656
ivillage.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
3dissue.com,ok,https://static.3dissue.com/images/clients/logos/nike.png,2244.3891544485946
spigen.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
findthebest.com,"Failed, this website is off or blocked our connection"
trumpia.com,ok,https://rs.trumpia.com/images/main/svg_features_list05.svg,147.83502493921605
griffintechnology.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
softlayer.com,ok,https://www.ibm.com/cloud//1.cms.s81c.com/sites/default/files/2021-06-23/Group%205.png,409.7569080514405
justhost.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
meraki.com,ok,https://meraki.cisco.com/wp-content/uploads/2021/06/asurion-logo.svg,606.4262161051969
myway.com,ok,https://ak.staticimgfarm.com/images/webtooltab/assets/logos/mywaydefault.png,235.702167894531
freeconferencecall.com,ok,https://www.freeconferencecall.com/global/br/images/application_wide/global/yahootech-white.png,409.60620000000006
brighthouse.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
home.pl,ok,https://home.pl//img/home/base/favicon/favicon-16x16.png,297.64924328474683
acquia.com,ok,https://www.acquia.com//themes/custom/juice/logo.svg,234.40879149463865
sakura.ne.jp,"Failed, this website is off or blocked our connection"
inbox.com,ok,http://www.inbox.com/../Server/img/img-cloud.jpg,66.70525094781964
mxtoolbox.com,ok,https://images.mxtoolbox.com/public/images/assets/im_pro_badge.png,258.5647374232319
viglink.com,"Failed, this website is off or blocked our connection"
nifty.com,"Failed, this website is off or blocked our connection"
harris.com,"Failed, this website is off or blocked our connection"
italkbb.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
securepaynet.net,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
bluetooth.com,ok,https://www.bluetooth.com/wp-content/themes/bluetooth/images/logos/bluetooth-icon-white.svg,357.0331600294894
brandbucket.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
credomobile.com,ok,https://www.credomobile.com/wp-content/uploads/2022/04/credo_microservices_coverage_default_icon4g_icon_1.png,1310.8354055455611
cchgroup.com,ok,https://cdn.wolterskluwer.io/wk/fundamentals/1.15.2/logo/assets/medium.svg,522.1336250026987
incredimail.com,ok,https://www.incredimail.com/incredimail.png,9.241208075540737
dogpile.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
ubreakifix.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
thenextweb.com,ok,https://i.ytimg.com/vi/jb4Lo-y5HCw/hqdefault.jpg,257.42821915062154
flippa.com,ok,https://d2jafhvbn4akdi.cloudfront.net/173c696b-f8cb-41ff-a84e-48d0d663aaa0.png,645.6032376152018
cartoys.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
sedo.com,ok,https://cdn.sedo.com/fileadmin/user_upload/Home/Hero_Banner_EN_1520x500_01.png,53.2500000000001
surveygizmo.com,ok,https://1utysa49sprc1qb8aw184c71-wpengine.netdna-ssl.com/wp-content/uploads/2022/05/Logo_Takeda.png,455.3811137312029
123contactform.com,ok,https://cdn.marketing123.123formbuilder.com/wp-content/themes/marketing123/assets/images/placeholder.svg,1430.074512309218
ucoz.com,ok,https://www.ucoz.com//ucoz/v3/images/logo-ukit.png,75.51916003872056
televisionfanatic.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
findtherightjob.com,"Failed, this website is off or blocked our connection"
zimbra.com,ok,https://www.zimbra.com/wp-content/uploads/2016/06/zimbra-logo-color-282.png,7331.545270493164
lingo.com,ok,https://www.lingo.com///www.lingo.com/wp-content/uploads/2018/05/Lingo-Logo-AllWhite.png,1593.522563435174
cellphoneshop.net,"Failed, this website is off or blocked our connection"
phone.com,ok,https://www.phone.com/wp-content/uploads/elementor/thumbs/phonecom_logo_optimized-p5a3fm5yqosv7qfxdp45f66r7nj3cfmmmt9q5xgrms.png,1125.1993498192949
mywebsearch.com,"Failed, this website is off or blocked our connection"
soluto.com,"Failed, this website is off or blocked our connection"
backupify.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
livedoor.jp,"Failed, this website is off or blocked our connection"
adblade.com,ok,https://www.adblade.com:443//images/design/adblade/logo.png,70.31658521922832
cakemail.com,ok,https://assets.website-files.com/607471236424c7aca15441e9/62509185b92dbf5a195e80a4_LogoNeosapiens.png,988.5586516302973
radaris.com,ok,https://radaris.com//img/logo-newswatch.svg,491.4000000002552
benchmarkemail.com,ok,https://www.benchmarkemail.com/wp-content/uploads/2019/09/benchmark-logo.svg,432.8657932426005
tinydeal.com,ok,http://cbm.aa-img.com/help/email_2020/0831_/1_02.jpg,8.02031347652605
ebizautos.com,ok,https://www.ebizautos.com/wp-content/uploads/2019/09/favicon-regular.png,87.49488726863348
liquidweb.com,ok,https://res.cloudinary.com/lwgatsby/f_auto/www/uploads/2017/06/aicpa-greyscale.png,565.3938349579388
scorebig.com,ok,https://www.scorebig.com//images/fast-company-logo.png,337.4089135960956
consumercellular.com,ok,https://www.consumercellular.com//api/Assets/Home/samsung-zflip-tile/samsung-logo.png,297.40533935444864
vodafone.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
brighttalk.com,ok,https://www.brighttalk.com/wp-content/themes/brighttalk-theme-3.21.0/assets/css/fonts/nelvetica-neue-font/694033/25e09910-ffc3-4fc4-b0d1-db9a95dface8.svg,1004.3948899999999
liferay.com,ok,https://www.liferay.com/documents/10182/282206318/ebook_Becoming+a_Digital_Business-4_Common_Enterprise_Challenges_Conquered.jpg/9f41577d-7531-fce0-6956-fc4a832d47e0/ebook_Becoming+a_Digital_Business-4_Common_Enterprise_Challenges_Conquered.jpg,706.6306991170846
marchex.com,"Failed, this website is off or blocked our connection"
freewebs.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
digicelgroup.com,ok,https://www.digicelgroup.com/en.html/content/dam/digicel/digicel-redesign/markets/apps/go-loud.png,179.8096745162968
012global.com,ok,https://www.011global.com/./Slices/011Logo_black.png,409.77997690499933
earthlinkbusiness.com,ok,https://www.earthlink.net//images/elnk-logo-type.svg,2643.7350810516677
1shoppingcart.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
buuteeq.com,"Failed, this website is off or blocked our connection"
